image_path,label,prediction
val/10003R.jpg,10003R,1034YA
val/10798M.jpg,10798M,1078M
val/11478Y.jpg,11478Y,14748YB
val/11678R.jpg,11678R,17638DB
val/1191YY.jpg,1191YY,1919YB
val/12232W.jpg,12232W,123BW
val/12363W.jpg,12363W,1268W
val/1280D.jpg,1280D,2378HB
val/1341DD.jpg,1341DD,1341DB
val/14277A.jpg,14277A,14247A
val/1629SS.jpg,1629SS,1692DSB
val/17756B.jpg,17756B,176B
val/18488S.jpg,18488S,1068SB
val/20239A.jpg,20239A,20239A
val/20488BB.jpg,20488BB,248B
val/2100MW.jpg,2100MW,2810MW
val/21737R.jpg,21737R,7470WB
val/23011BB.jpg,23011BB,23412B
val/24530H.jpg,24530H,243H
val/25119R.jpg,25119R,25169R
val/25170Y.jpg,25170Y,28570WB
val/2523RW.jpg,2523RW,2523RB
val/26452D.jpg,26452D,2437YB
val/28472W.jpg,28472W,2872WA
val/29179BB.jpg,29179BB,219B
val/2931HD.jpg,2931HD,2814DB
val/31833BB.jpg,31833BB,3163B
val/31983H.jpg,31983H,318YA
val/32352S.jpg,32352S,32387SB
val/33617BB.jpg,33617BB,3697B
val/34917W.jpg,34917W,4931WB
val/35423W.jpg,35423W,54WA
val/36552W.jpg,36552W,3635AWA
val/37383W.jpg,37383W,3738WA
val/37569W.jpg,37569W,3269WA
val/39517W.jpg,39517W,3957W
val/42866W.jpg,42866W,4286WA
val/42941AA.jpg,42941AA,42940A
val/43547M.jpg,43547M,43841MA
val/44160S.jpg,44160S,4160SB
val/44566BB.jpg,44566BB,456B
val/44828M.jpg,44828M,428MA
val/46001B.jpg,46001B,4301B
val/47272H.jpg,47272H,472HB
val/4782HY.jpg,4782HY,4782YA
val/50005A.jpg,50005A,51080A
val/50768Y.jpg,50768Y,50168YA
val/5092R.jpg,5092R,50829YA
val/51603BB.jpg,51603BB,5163B
val/53711Y.jpg,53711Y,5371YA
val/54261D.jpg,54261D,54261DB
val/54814S.jpg,54814S,5414SB
val/56308AA.jpg,56308AA,3618A
val/57604BB.jpg,57604BB,5764B
val/58299AA.jpg,58299AA,589A
val/58299BB.jpg,58299BB,5829B
val/61982H.jpg,61982H,61989H
val/62123B.jpg,62123B,67123B
val/63079M.jpg,63079M,63879M
val/64234Y.jpg,64234Y,63231YA
val/64375H.jpg,64375H,6379H
val/65366B.jpg,65366B,6356B
val/67300D.jpg,67300D,670DB
val/67423BB.jpg,67423BB,67623B
val/69558AA.jpg,69558AA,6938A
val/70327B.jpg,70327B,1579HB
val/70963M.jpg,70963M,70963MA
val/7261M.jpg,7261M,721MA
val/73092Y.jpg,73092Y,759Y
val/75406R.jpg,75406R,7546B
val/76024BB.jpg,76024BB,6914B
val/76739M.jpg,76739M,76730WA
val/76902W.jpg,76902W,76921WA
val/77572D.jpg,77572D,737DB
val/77658Y.jpg,77658Y,72658YB
val/79948R.jpg,79948R,7984RB
val/80947A.jpg,80947A,80947A
val/81497A.jpg,81497A,81497A
val/82314A.jpg,82314A,8314A
val/83278S.jpg,83278S,14728SB
val/8371B.jpg,8371B,43MB
val/84236Y.jpg,84236Y,826YA
val/8523BB.jpg,8523BB,8327B
val/8566B.jpg,8566B,36MB
val/86686BB.jpg,86686BB,83685B
val/8673YY.jpg,8673YY,18678YB
val/87216BB.jpg,87216BB,8726B
val/88901H.jpg,88901H,8914H
val/90391D.jpg,90391D,21391B
val/93648BB.jpg,93648BB,93648B
val/9545RS.jpg,9545RS,9545B
val/97093B.jpg,97093B,9793B
val/97898R.jpg,97898R,97898R
val/98565W.jpg,98565W,9835W
val/98655S.jpg,98655S,9865SB
